SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
NRAIL,BE,389.3,408,382,400.25,400,389.3,3584,1404980.05,03-Sep-2025,75,INE740D01017
NRVANDANA,SM,45,46,45,46,46,45.05,108000,4934250.00,03-Sep-2025,23,INE104101014
NBIFIN,EQ,2480.4,2480.4,2451,2472.1,2480,2480.3,69,170469.30,03-Sep-2025,29,INE365I01020
NACLIND,BE,282,282,273,276.35,275,283.05,178476,49314624.65,03-Sep-2025,2489,INE295D01020
NDGL,EQ,3999.3,3999.4,3862.1,3899.8,3885,3940.8,217,850351.60,03-Sep-2025,65,INE756C01015
NAGAFERT,EQ,5.28,5.47,5.22,5.44,5.44,5.22,582499,3127163.26,03-Sep-2025,1597,INE454M01024
NAGREEKCAP,EQ,25.06,25.98,24.86,25.02,25.56,25.96,6466,162662.76,03-Sep-2025,163,INE245I01016
NAGREEKEXP,EQ,25.11,26.74,25.11,26.06,25.8,25.49,19197,500834.90,03-Sep-2025,173,INE123B01028
NAHARCAP,BE,288.2,298.45,288.2,289.4,288.5,290.25,868,251217.00,03-Sep-2025,26,INE049I01012
NAHARINDUS,BE,112.1,116,109,113.84,113.95,112.03,11682,1324158.92,03-Sep-2025,91,INE289A01011
NAHARPOLY,EQ,297,303,294,299.2,297.6,296.15,12457,3731604.70,03-Sep-2025,394,INE308A01027
NAHARSPING,EQ,218,220.79,216.26,219.6,219.81,216.57,14954,3279300.42,03-Sep-2025,658,INE290A01027
NGIL,EQ,30.8,32,30.31,31.86,31.12,30.42,244163,7741282.22,03-Sep-2025,615,INE236Y01012
NSIL,EQ,6831,7195,6831,7079.5,7065.5,6818.5,24116,170834825.50,03-Sep-2025,6506,INE023A01030
NAMAN,SM,92,92,85.5,86.5,86.1,95,42400,3683120.00,03-Sep-2025,37,INE0RJM01010
NAMOEWASTE,SM,165.55,166,163,165.6,165,162.5,20000,3298120.00,03-Sep-2025,22,INE08NZ01012
NDL,EQ,3.49,3.56,3.45,3.45,3.46,3.46,2522944,8813783.55,03-Sep-2025,2895,INE875G01048
JAIPURKURT,EQ,37.79,37.98,36.53,37.77,37.89,36.46,3242,121167.58,03-Sep-2025,113,INE696V01013
NH,EQ,1774.8,1820,1757,1809.2,1805,1766.3,284953,513442496.60,03-Sep-2025,43785,INE410P01011
NARMADA,EQ,23,23.1,22.69,22.92,22.93,22.88,253176,5801597.24,03-Sep-2025,332,INE117Z01011
NATCOPHARM,EQ,867.75,878.9,856.55,872,874.1,865.65,499490,432632300.05,03-Sep-2025,25534,INE987B01026
NATHBIOGEN,BE,171.9,172,168,169.2,169,169.95,10160,1729997.63,03-Sep-2025,191,INE448G01010
NATIONALUM,EQ,201.51,208.3,201.51,207.12,207.4,200.53,16998064,3495546240.33,03-Sep-2025,107364,INE139A01034
