SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
524818,"DYNAMIC INDUSTRIES LTD.",X,STK,106.2,113.75,106.2,110.55,111,109.8,29,1164,126717,
524820,"PANAMA PETROCHEM LTD.",B,STK,303.35,309.05,301.2,303.45,304,302.15,273,3485,1058866,
524824,"BAL PHARMA LTD.",B,STK,95.4,95.4,89.05,89.23,89.14,90.39,83,791,72054,
524828,"BDH INDUSTRIES LTD.",X,STK,312.7,331,305.45,317.65,317,314.6,84,20923,6474489,
526001,"JAUSS POLYMERS LTD.",XT,STK,8.01,8.01,8.01,8.01,8.01,7.63,3,599,4797,
526025,"GLOBUS CONSTRUCTORS & DEVELOPE",X,STK,14,14.83,13.85,14.49,14.54,14.9,108,16321,234714,
526027,"CUBEX TUBINGS LTD.",T,STK,83.51,84.45,82.05,82.47,83.95,82.69,56,5728,476551,
526043,"POLYMECHPLAST MACHINES LTD.",X,STK,58,58.5,56.2,58,58,57.5,31,1460,83607,
526071,"STELLANT SECURITIES (INDIA) LT",XT,STK,639.7,639.7,639.7,639.7,639.7,627.2,6,287,183593,
526073,"GALAXY BEARINGS LTD.",X,STK,885.6,910,885,908.1,895.1,890.05,57,216,194350,
526081,"SC Agrotech Limited",X,STK,16,16,16,16,16,16,2,250,4000,
526095,"RAVILEELA GRANITES LTD.",X,STK,34.52,34.52,34.51,34.51,34.51,36.85,2,50,1725,
526113,"UNIROYAL MARINE EXPORTS LTD.",X,STK,18.79,18.79,17.95,17.95,17.95,18.89,12,454,8167,
526115,"KARAN WOO-SIN LTD.",X,STK,7.23,7.23,7.23,7.23,7.23,6.89,2,2,14,
526117,"SHERVANI INDUSTRIAL SYNDICATE",X,STK,388,410,388,410,410,392.1,2,2,798,
526125,"BN HOLDINGS LIMITED",X,STK,354,354,334.5,351,351,340.9,112,9038,3141870,
526133,"SUPERTEX INDUSTRIES LTD.",X,STK,7.23,8,7.23,7.84,7.8,7.69,13,2246,17367,
526137,"SHETRON LTD.",X,STK,140,142.35,138.3,140.8,140.95,138.85,14,336,47254,
526139,"TRANSGENE BIOTEK LTD.",X,STK,3.74,3.96,3.6,3.85,3.85,3.74,76,77026,285615,
526143,"MPL PLASTICS LTD.",X,STK,9.04,9.5,8.71,9.36,9.36,9.18,54,5772,51873,
526159,"NIKHIL ADHESIVES LTD.",X,STK,102.15,107.9,101.4,105.65,107.9,102.15,760,8967,932325,
526161,"SPENTA INTERNATIONAL LTD.",X,STK,105.6,106,99.2,106,106,106,32,1489,156656,
526169,"MULTIBASE INDIA LTD.",X,STK,243.85,246.5,243.85,245.55,245.6,243.85,176,8641,2120332,
526173,"ANDREW YULE & COMPANY LTD.",B,STK,28.14,28.14,27.3,27.49,27.4,27.59,521,99689,2759198,
526179,"LUDLOW JUTE & SPECIALITIES LTD",XT,STK,445.2,456.4,438,447.4,450,445.2,67,1647,736080,
526187,"ASHRAM ONLINE.COM LTD.",X,STK,5.9,5.9,5.9,5.9,5.9,5.9,5,79,466,
526193,"ROYAL CUSHION VINYL PRODUCTS L",X,STK,23.48,24.99,22.71,23.48,23.48,22.99,31,2637,60590,
526211,"SURAJ INDUSTRIES LTD.",X,STK,77.33,77.33,73.55,76.84,76.9,77.33,25,1515,114499,
526217,"Hitech Corporation Limited",B,STK,195.5,206.1,195.5,199.95,199.6,201.45,492,1380,279273,
526225,"BLOOM DEKOR LTD.",XT,STK,11.41,12.59,11.41,12.59,12.59,12,4,105,1202,
526227,"FILATEX INDIA LTD.",B,STK,53.75,55.27,53.3,53.94,54.3,53.37,1098,116597,6376996,
526231,"STANDARD SURFACTANTS LTD.",X,STK,62.9,62.9,58.99,61.15,61.15,62.99,16,3035,189005,
526237,"MORGAN VENTURES LTD.",X,STK,75.32,77.95,73.33,73.62,73.62,75.32,101,5018,374191,
526241,"AMRAPALI INDUSTRIES LTD.",X,STK,15.54,16.31,15.5,16.29,16.29,15.86,47,7219,114505,
526247,"PREMIER EXPLOSIVES LTD.",B,STK,510.25,538.75,509,536.95,538,509.95,4123,106953,56471629,
526251,"MID EAST PORTFOLIO MANAGEMENT",X,STK,25.49,25.49,23.58,23.58,23.58,24.82,54,12586,303631,
526263,"MOLD-TEK TECHNOLOGIES LTD.",B,STK,169.95,171.7,168.35,170.9,170.75,167.1,185,5397,922293,
526269,"CRESTCHEM LTD.",X,STK,122.3,124,120,121.85,121.95,122.3,97,2643,318608,
526299,"MPHASIS LTD.",A,STK,2905,2912.6,2844.25,2893.4,2888.7,2900.25,2512,10554,30240190,
526301,"MEDINOVA DIAGNOSTIC SERVICES L",X,STK,41.4,41.4,40.7,40.94,40.7,40.65,15,1287,53220,
526315,"DIVYASHAKTI LIMITED",X,STK,67.99,67.99,65.06,66.38,67.85,65.8,40,3228,216828,
526325,"ORIENT PRESS LTD.",B,STK,94.99,94.99,87.26,87.35,87.26,88.06,14,229,20065,
526335,"SHREYAS INTERMEDIATES LTD.",X,STK,8.18,8.34,7.86,7.88,7.86,8.18,21,3991,31979,
526345,"PANJON LTD.",X,STK,20.99,20.99,19.4,19.52,19.99,19.69,114,25820,507891,
526355,"DUROPACK LTD.",X,STK,83,83.83,78,81.65,81.99,84.28,23,1165,93980,
526365,"SWARNSARITA JEWELS INDIA LIMIT",X,STK,32.64,32.64,30.6,32.14,32.06,31.96,40,1719,54219,
526367,"GANESH HOUSING CORPORATION LTD",A,STK,900.15,900.15,859.8,874.1,875.3,865.5,416,2223,1944926,
526371,"NMDC LTD.",A,STK,73.1,74.47,73.1,74.28,74.28,72.83,12231,2642356,195407259,
526373,"CINDRELLA HOTELS LTD.",X,STK,70,73.5,68,68,68,70,8,802,55945,
526381,"PATEL INTEGRATED LOGISTICS LTD",B,STK,14.95,15.05,14.8,14.87,14.94,14.89,145,17809,265782,
526397,"ALPHAGEO (INDIA) LTD.",B,STK,247,249.95,246.75,248.35,246.95,245.65,63,1253,311082,
526407,"HAMPTON SKY REALTY LIMITED",X,STK,20.3,20.49,19.8,19.99,20,19.89,152,26326,527724,
526409,"KKALPANA INDUSTRIES (INDIA) LT",XT,STK,12.41,13.66,12.36,12.36,12.36,13.01,122,75656,953275,
526415,"OK PLAY INDIA LTD.",X,STK,9.25,9.28,8.91,9.01,9.04,9.03,572,622901,5651522,
526423,"KRITI INDUSTRIES (INDIA) LTD.",T,STK,135,136,128.75,135.85,135.7,132.5,17,1232,161034,
526433,"ASM TECHNOLOGIES LTD.",B,STK,3374.5,3521.2,3302.05,3513.95,3513.95,3353.55,4993,97265,339683917,
526435,"PERFECTPAC LTD.",X,STK,104.95,104.95,100.25,101.35,100.25,105.95,11,627,63532,
526439,"AMBITIOUS PLASTOMAC COMPANY LT",XT,STK,15.52,15.52,15.52,15.52,15.52,15.52,7,18,279,
526441,"VISION CINEMAS LTD.",X,STK,1.06,1.07,1.06,1.07,1.07,1.06,19,14378,15328,
